time_step,capas,units,activation,lr,opt,batch,MAE,RMSE,MAPE,R2
7,2,32,relu,0.0005,adam,32,0.07250020778713097,0.08172631548498814,21.279663570519787,-0.25758664650288643
7,1,64,elu,0.0005,adam,128,0.06262446604440869,0.06980143664590886,21.50541875328582,0.08263366150065132
7,1,32,relu,0.001,rmsprop,32,0.07424848016212417,0.08282596235929954,21.585090032766647,-0.29165657484888863
7,1,64,selu,0.01,adam,32,0.07726394971844165,0.08895830590526085,21.666619509761897,-0.4900028019394118
7,2,64,elu,0.01,adam,32,0.07777602745822207,0.09041244853718594,21.91626860634143,-0.5391131169102685
7,1,64,selu,0.0005,rmsprop,64,0.0646972965837331,0.07221064597234822,22.29394933528081,0.018214671743239985
7,1,64,elu,0.001,adam,64,0.06527801329127148,0.07209848922122639,22.337545150795236,0.021262098821205555
7,1,64,relu,0.001,adam,32,0.07893976644117401,0.09054732246856124,22.55041579168891,-0.543708525506932
7,2,64,relu,0.0005,adam,32,0.0794661461767066,0.09331997581373536,22.684635440212872,-0.639695907566117
7,1,32,relu,0.01,adam,128,0.07528947126701949,0.08142906464493468,22.8289469512436,-0.24845522126624142
7,1,32,relu,0.0005,adam,32,0.07935950335339553,0.08860880258118137,22.84272783155637,-0.47831782362079434
7,2,32,selu,0.001,rmsprop,32,0.07335530456574484,0.07988841677109426,23.229142654301608,-0.20166028075964726
7,1,64,relu,0.0005,rmsprop,32,0.08028644201643916,0.08874195598838384,23.28004823672086,-0.4827641302743142
7,2,64,relu,0.001,adam,64,0.08152772580844113,0.09261210335310723,23.382226112644634,-0.6149146455223728
7,2,32,selu,0.001,rmsprop,64,0.06826387897862427,0.07661604419819333,23.384989019282806,-0.10523219561056463
7,2,64,elu,0.001,adam,32,0.0798386801296214,0.09326881662161915,23.53378118263692,-0.6378985962474069
7,1,64,elu,0.01,adam,64,0.08298990543245802,0.09890499527963575,23.560124944595824,-0.8418341908492404
7,1,64,selu,0.001,rmsprop,32,0.07380060440918096,0.0877547942793263,23.67566757652532,-0.44995920202612805
7,1,32,selu,0.0005,rmsprop,64,0.07177129618606132,0.08895949516643258,23.793043501777532,-0.4900426411495855
7,2,64,elu,0.0005,adam,64,0.06930309009363252,0.07705387802702919,23.915298595206057,-0.11790031836305626
7,2,32,relu,0.001,adam,64,0.08450236505026967,0.09754248977687828,23.977706224540597,-0.7914378718997761
7,1,32,elu,0.0005,adam,32,0.06973936971451827,0.07909452253606308,24.013097389124848,-0.1778958591917903
7,1,32,relu,0.0005,rmsprop,64,0.07883000666776255,0.08417086399212757,24.06467476410656,-0.333944153276861
7,2,64,elu,0.01,adam,128,0.07502804568376056,0.08043427809800878,24.19015170500833,-0.21813778410577478
7,2,64,relu,0.0005,adam,128,0.08266128063297616,0.09211798356221744,24.279158732216498,-0.5977282832871331
7,2,32,elu,0.001,adam,128,0.06913136579739299,0.07958242080584567,24.290554416359438,-0.1924724909139197
7,2,64,selu,0.0005,adam,32,0.07793088090256331,0.09170141658894547,24.334670301570707,-0.5833107734327416
7,1,32,elu,0.01,adam,32,0.08754679928660485,0.10177930643295117,24.382572923167885,-0.9504420515709384
7,2,32,elu,0.0005,adam,64,0.07408481941370687,0.07774529294855362,24.402981385848353,-0.13805247155857714
7,1,32,selu,0.01,adam,128,0.080097939865406,0.08499242994736023,24.58865120825187,-0.3601116781116813
7,1,32,selu,0.001,adam,64,0.07568848542640864,0.0797302355391578,24.70972439065339,-0.19690635198312512
7,2,32,relu,0.001,rmsprop,32,0.08550726317333465,0.09606830754630308,24.77522817967957,-0.7376982231998572
7,2,32,elu,0.01,adam,32,0.08837248556197308,0.10137181240771005,25.14072536116393,-0.9348553384714551
7,1,64,relu,0.001,adam,128,0.0816121104757924,0.09169025737407027,25.2089463387875,-0.5829254483037472
7,1,32,relu,0.01,rmsprop,128,0.0867406393661948,0.09438585391876463,25.5580437744775,-0.6773662336707198
7,1,64,relu,0.01,rmsprop,32,0.09096294711217007,0.10258124391461189,25.948297270835575,-0.9812989061348036
7,1,32,elu,0.01,adam,64,0.08866636488844346,0.09941624007912384,25.95528822122481,-0.8609244665244866
7,2,32,selu,0.01,adam,128,0.08605562417499224,0.09383816639431102,25.99286866553705,-0.6579563929561454
7,2,64,elu,0.01,rmsprop,64,0.08541308015161164,0.08990583138026194,26.56320532430997,-0.521912907797534
7,1,64,relu,0.01,adam,64,0.09255610881268139,0.10342174012798071,26.606595186782872,-1.0138993377634167
7,1,32,elu,0.01,adam,128,0.07949112117871411,0.08501791541241006,26.680936746254012,-0.36092747489779087
7,2,32,elu,0.001,rmsprop,128,0.07579573443721456,0.08217486436356934,26.72946305764146,-0.2714288724098921
7,2,32,elu,0.0005,adam,128,0.08323246889883884,0.08695405065331722,26.763417674054367,-0.4236187962892226
7,1,64,elu,0.001,adam,32,0.09158998437645469,0.10189751815472002,26.930306632295466,-0.9549753701069528
7,1,64,relu,0.001,rmsprop,64,0.09037599286403171,0.09820842162103013,26.938548947178802,-0.8159820025053961
7,2,64,elu,0.001,adam,128,0.07727419149935531,0.08846202934020993,26.955404441310172,-0.4734244543596049
7,1,64,elu,0.0005,adam,32,0.08252109212815588,0.0880958979627632,27.030979658356387,-0.4612531184367177
7,2,64,relu,0.001,rmsprop,32,0.09168467024193984,0.10082845047119002,27.189077118582727,-0.9141689343076533
