d,unixTs,sopr
2017-05-15,1494806400,1.007684798097844
2017-05-16,1494892800,1.0076814072803562
2017-05-17,1494979200,1.0131653497904662
2017-05-18,1495065600,1.0091396891577575
2017-05-19,1495152000,1.0179455028831386
2017-05-20,1495238400,1.014619459881824
2017-05-21,1495324800,1.0173152933240663
2017-05-22,1495411200,1.02859140712084
2017-05-23,1495497600,1.0210589691835725
2017-05-24,1495584000,1.0239527810456537
2017-05-25,1495670400,1.0350327673234545
2017-05-26,1495756800,1.0176166696473572
2017-05-27,1495843200,0.9995194873597166
2017-05-28,1495929600,1.0096175159918794
2017-05-29,1496016000,1.0105912306318228
2017-05-30,1496102400,1.007945937159873
2017-05-31,1496188800,1.0146020238633742
2017-06-01,1496275200,1.0171701661367856
2017-06-02,1496361600,1.010905265806992
