d,unixTs,age_0d_1d,age_1d_1w,age_1w_1m,age_1m_3m,age_3m_6m,age_6m_1y,age_1y_2y,age_2y_3y,age_3y_4y,age_4y_5y,age_5y_7y,age_7y_10y,age_10y
2020-03-15,1584230400,219266.30784000,1187692.50080000,1023242.76992000,1279053.46240000,1388686.61632000,2485018.15552000,2923550.77120000,2795645.42496000,621254.53888000,401988.23104000,1205964.69312000,1498319.77024000,1242509.07776000
2020-03-16,1584316800,420294.63586000,1023326.06992000,1023326.06992000,1279157.58740000,1370525.98650000,2485220.45552000,2905515.09138000,2795873.01246000,621305.11388000,402020.95604000,1206062.86812000,1498441.74524000,1260883.90758000
2020-03-17,1584403200,383779.56372000,1096513.03920000,1023412.16992000,1242714.77776000,1370641.29900000,2467154.33820000,2905759.55388000,2796108.24996000,621357.38888000,402054.78104000,1206164.34312000,1498567.82024000,1260989.99508000
2020-03-18,1584489600,310699.94444000,986929.23528000,1224523.31044000,1242799.77776000,1370735.04900000,2467323.08820000,2905958.30388000,2796299.49996000,621399.88888000,402082.28104000,1187970.37580000,1498670.32024000,1261076.24508000
2020-03-19,1584576000,310722.68194000,877334.63136000,1352557.55668000,1206335.11812000,1389113.16632000,2467503.65070000,2887893.16156000,2814781.94228000,621445.36388000,402111.70604000,1188057.31330000,1498779.99524000,1261168.53258000
2020-03-20,1584662400,420420.84836000,731166.69280000,1389216.71632000,1224704.21044000,1389216.71632000,2467687.58820000,2888108.43656000,2814991.76728000,621491.68888000,402141.68104000,1188145.87580000,1498891.72024000,1261262.54508000
2020-03-21,1584748800,164526.45588000,877474.43136000,1389334.51632000,1316211.64704000,1389334.51632000,2449616.12088000,2906634.05388000,2815230.46728000,621544.38888000,402175.78104000,1188246.62580000,1499018.82024000,1261369.49508000
2020-03-22,1584835200,146258.43856000,877550.63136000,1407737.47114000,1316325.94704000,1371172.86150000,2449828.84588000,2906886.46638000,2815474.94228000,621598.36388000,402210.70604000,1188349.81330000,1499148.99524000,1279761.33740000
2020-03-23,1584921600,219404.45784000,749631.89762000,1480980.09042000,1316426.74704000,1298143.04222000,2523151.26516000,2907109.06638000,2815690.54228000,621645.96388000,402241.50604000,1188440.81330000,1499263.79524000,1279859.33740000
2020-03-24,1585008000,347421.74158000,603416.70906000,1499399.09524000,1316545.54704000,1261689.48258000,2559949.67480000,2907371.41638000,2815944.64228000,621702.06388000,402277.80604000,1188548.06330000,1499399.09524000,1279974.83740000
2020-03-25,1585094400,274297.57230000,713173.68798000,1499493.39524000,1316628.34704000,1261768.83258000,2541824.16998000,2889267.76156000,2797835.23746000,621741.16388000,402303.10604000,1188622.81330000,1499493.39524000,1280055.33740000
2020-03-26,1585180800,219462.05784000,731540.19280000,1444791.88078000,1426503.37596000,1243618.32776000,2560390.67480000,2889583.76156000,2798141.23746000,621809.16388000,402347.10604000,1188752.81330000,1499657.39524000,1280195.33740000
2020-03-27,1585267200,237775.75016000,567003.71192000,1572978.03952000,1426654.50096000,1225459.63544000,2560661.92480000,2889889.88656000,2780147.23264000,640165.48120000,402389.73104000,1170588.30848000,1499816.27024000,1280330.96240000
2020-03-28,1585353600,146337.03856000,658516.67352000,1591415.29434000,1445078.25578000,1225572.69794000,2560898.17480000,2871864.38174000,2798695.86246000,640224.54370000,402426.85604000,1170696.30848000,1499954.64524000,1280449.08740000
2020-03-29,1585440000,128058.12124000,676878.64084000,1554991.47220000,1463521.38560000,1225699.16044000,2561162.42480000,2872160.71924000,2798984.64996000,640290.60620000,402468.38104000,1170817.10848000,1500109.42024000,1298875.22972000
2020-03-30,1585526400,256141.96748000,530579.78978000,1591739.36934000,1463668.38560000,1225822.27294000,2561419.67480000,2872449.20674000,2799265.78746000,640354.91870000,402508.80604000,1170934.70848000,1500260.09524000,1299005.69222000
2020-03-31,1585612800,274467.63480000,475743.90032000,1646805.80880000,1463827.38560000,1207657.59312000,2561697.92480000,2872761.24424000,2799569.87496000,640424.48120000,402552.53104000,1171061.90848000,1500423.07024000,1299146.80472000
2020-04-01,1585699200,329395.58676000,512393.13496000,1628678.17898000,1354181.85668000,1226083.57294000,2561965.67480000,2873061.50674000,2799862.48746000,640491.41870000,402594.60604000,1171184.30848000,1500579.89524000,1299282.59222000
2020-04-02,1585785600,219620.00784000,622256.68888000,1628848.39148000,1372625.04900000,1207910.04312000,2543931.75748000,2873361.76924000,2818456.76728000,640558.35620000,420938.34836000,1171306.70848000,1482435.05292000,1299418.37972000
2020-04-03,1585872000,219639.80784000,604009.47156000,1482568.70292000,1555781.97220000,1226322.26044000,2544161.10748000,2873620.81924000,2818710.86728000,640616.10620000,420976.29836000,1171412.30848000,1482568.70292000,1299535.52972000
2020-04-04,1585958400,109831.67892000,695600.63316000,1482727.66542000,1555948.78470000,1208148.46812000,2526128.61516000,2873928.93174000,2819013.09228000,640684.79370000,421021.43586000,1171537.90848000,1482727.66542000,1317980.14704000
2020-04-05,1586044800,109844.80392000,695683.75816000,1464597.38560000,1574442.18952000,1208292.84312000,2544737.95748000,2874272.36924000,2819349.96728000,640761.35620000,421071.74836000,1153370.44116000,1482904.85292000,1318137.64704000
2020-04-06,1586131200,274636.00980000,530962.95228000,1446416.31828000,1556270.72220000,1208398.44312000,2544960.35748000,2874523.56924000,2819596.36728000,640817.35620000,421108.54836000,1153471.24116000,1483034.45292000,1318252.84704000
2020-04-07,1586217600,274667.50980000,531023.85228000,1483204.55292000,1538138.05488000,1208537.04312000,2545252.25748000,2874853.26924000,2819919.76728000,640890.85620000,421156.84836000,1153603.54116000,1483204.55292000,1318404.04704000
2020-04-08,1586304000,201442.64052000,476137.15032000,1629854.09148000,1538289.25488000,1208655.84312000,2545502.45748000,2875135.86924000,2820196.96728000,640953.85620000,421198.24836000,1153716.94116000,1483350.35292000,1318533.64704000
