d,unixTs,binance,bybit,okx,bitget,deribit,bitmex,huobi,bitfinex,gateIo,kucoin,kraken,cryptoCom,dydx,deltaExchange,openInterestFutures
2020-11-19,1605744000,950461428.5523,858111336.9593,1124704727.8782,,415232418.9428,627256904.6595,545200643.9089,188684780.6920,,,70818264.5272,,,,
2020-11-20,1605830400,984074507.9793,950064379.7812,1131941279.3308,,412851101.2113,654007249.5650,604198991.5960,188794531.6014,,,71165329.9760,,,,
2020-11-21,1605916800,1027654201.8119,1063181413.2372,1159574035.5175,,421939609.9945,707415572.9169,618013347.3653,199651628.0953,,,80411000.2444,,,,
2020-11-22,1606003200,1120283331.2281,1049866439.0503,1178294070.4639,,426968875.1153,704948458.6529,617638966.1633,200221155.6030,,,74300819.1031,,,,
2020-11-23,1606089600,1120621665.6765,1055116792.7003,1186350234.7355,,424756218.5959,702718301.2947,644505741.2162,197291048.2195,,,77589419.2593,,,,
2020-11-24,1606176000,1086365034.2582,1128150056.6952,1211704717.8194,,427508503.8172,732351896.4616,682451404.1356,196745342.6722,,,76077761.2446,,,,
2020-11-25,1606262400,1233146030.0970,950416196.8972,1255330291.0302,,438079225.8836,720702398.8576,719944912.3061,205653322.5686,,,74359452.6399,,,,
2020-11-26,1606348800,1242172634.6570,866084495.0035,1247713924.4234,,449849632.2779,734203707.8100,750033978.8479,202430368.2887,,,78559085.9436,,,,
2020-11-27,1606435200,898458566.2630,634739809.2088,1107185851.6862,,467498276.9724,611167441.5198,627480917.0328,166518793.5090,,,72430061.9538,,,,
2020-11-28,1606521600,927988358.1106,629196657.2466,1101675756.8928,,445946760.7803,621111551.2590,616464524.2938,158579419.4459,,,67692916.5604,,,,
2020-11-29,1606608000,963390984.3378,654680312.4446,1143137265.5746,,447126043.0755,639669372.3979,628483841.5594,163410160.2100,,,70348961.4710,,,,
2020-11-30,1606694400,983196785.1574,696800131.5343,1146552886.5632,,458101774.2522,665440376.9954,648814918.1914,167252728.3363,,,76905769.5184,,,,
2020-12-01,1606780800,1144486016.2424,732851144.6781,1286381375.1448,,476827213.7286,701125095.9590,736734046.5804,183122519.0094,,,92087952.1990,,,,
2020-12-02,1606867200,1020528847.4000,753174527.7216,1271931614.2906,,493765793.1683,693603511.8956,732111742.0799,175369147.5050,,,82664611.8068,,,,
