d,unixTs,rhodlRatio
2021-06-28,1624838400,1310.3074564472349293
2021-06-29,1624924800,1350.0278450280570078
2021-06-30,1625011200,1339.7743217593164797
2021-07-01,1625097600,1320.4301345449965656
2021-07-02,1625184000,1335.1781791343269368
2021-07-03,1625270400,1357.8395255544761249
2021-07-04,1625356800,1385.2622952728449338
2021-07-05,1625443200,1364.2485211838006620
2021-07-06,1625529600,1365.5746685308268697
2021-07-07,1625616000,1373.7745718546790400
2021-07-08,1625702400,1349.6608145265139278
2021-07-09,1625788800,1360.3038611806453539
2021-07-10,1625875200,1368.5883621422453780
2021-07-11,1625961600,1382.6519188367265937
2021-07-12,1626048000,1374.6427125850577438
2021-07-13,1626134400,1361.5593873362467415
2021-07-14,1626220800,1358.1140286494122893
2021-07-15,1626307200,1342.9117791435157644
2021-07-16,1626393600,1335.4357907106898032
2021-07-17,1626480000,1329.7201238474659550
2021-07-18,1626566400,1335.4087210168676899
2021-07-19,1626652800,1321.1300666296892632
2021-07-20,1626739200,1293.8076828821686765
2021-07-21,1626825600,1326.6905099931298206
2021-07-22,1626912000,1341.9153570920551923
2021-07-23,1626998400,1356.1851540810175001
2021-07-24,1627084800,1398.8918431467980451
2021-07-25,1627171200,1421.7445087676904244
2021-07-26,1627257600,1513.1190512956871871
2021-07-27,1627344000,1564.0215224637122050
2021-07-28,1627430400,1632.9747344523299668
2021-07-29,1627516800,1664.7778636624594392
2021-07-30,1627603200,1698.8476922508303629
2021-07-31,1627689600,1745.0683653750835214
2021-08-01,1627776000,1736.7333172551308039
2021-08-02,1627862400,1715.9126271017663188
2021-08-03,1627948800,1706.4630637677756990
2021-08-04,1628035200,1729.8710331600801952
2021-08-05,1628121600,1752.3563052144067044
2021-08-06,1628208000,1800.8494394914309349
2021-08-07,1628294400,1850.5976165576834065
2021-08-08,1628380800,1871.3812781069415188
2021-08-09,1628467200,1920.4534079756502882
2021-08-10,1628553600,1969.7668808288638121
2021-08-11,1628640000,2000.2662542933553346
2021-08-12,1628726400,1991.3147981049622048
2021-08-13,1628812800,2051.1930658348364118
2021-08-14,1628899200,2067.5048493297184262
2021-08-15,1628985600,2069.8693220018558916
2021-08-16,1629072000,2073.2327323190878997
2021-08-17,1629158400,2057.3815739639671299
2021-08-18,1629244800,2047.5812531805959745
2021-08-19,1629331200,2066.4065599055337392
2021-08-20,1629417600,2119.9053477544219318
2021-08-21,1629504000,2152.1998985583904648
2021-08-22,1629590400,2164.8824547027182795
2021-08-23,1629676800,2191.6714488849576385
2021-08-24,1629763200,2187.3362661271620407
2021-08-25,1629849600,2206.1021897472287201
2021-08-26,1629936000,2183.6336764831793634
2021-08-27,1630022400,2203.1093614208581489
2021-08-28,1630108800,2217.5806889643160059
2021-08-29,1630195200,2224.1558262667162264
2021-08-30,1630281600,2196.8137585330053795
2021-08-31,1630368000,2185.8734997693533962
2021-09-01,1630454400,2196.4192394066194788
2021-09-02,1630540800,2237.0474199686834343
2021-09-03,1630627200,2273.3384119472235084
2021-09-04,1630713600,2285.8550090212845718
2021-09-05,1630800000,2354.4431093750423380
2021-09-06,1630886400,2390.3640559643292205
2021-09-07,1630972800,2317.5444952641522438
2021-09-08,1631059200,2280.6274146131930365
2021-09-09,1631145600,2277.2828608700912987
2021-09-10,1631232000,2243.4674962842846874
2021-09-11,1631318400,2225.4711904312471418
2021-09-12,1631404800,2239.9938994222547542
2021-09-13,1631491200,2208.2998446871754828
2021-09-14,1631577600,2229.2265884697043739
2021-09-15,1631664000,2261.6139049825870507
2021-09-16,1631750400,2278.6077656176668606
2021-09-17,1631836800,2288.4305370295160038
2021-09-18,1631923200,2318.4834756662536221
2021-09-19,1632009600,2310.5127090598541510
2021-09-20,1632096000,2231.6384944481851902
2021-09-21,1632182400,2163.2253926778680467
2021-09-22,1632268800,2170.0615478285208899
2021-09-23,1632355200,2177.4782004659569217
2021-09-24,1632441600,2131.8218661737815452
2021-09-25,1632528000,2117.4781920963119894
2021-09-26,1632614400,2120.9970437148206506
2021-09-27,1632700800,2127.6012588196876822
2021-09-28,1632787200,2096.7509548280384475
2021-09-29,1632873600,2096.2168976535489974
2021-09-30,1632960000,2135.7849217068725461
2021-10-01,1633046400,2237.4001670114540040
2021-10-02,1633132800,2289.3713795726253404
2021-10-03,1633219200,2322.9748390888796389
2021-10-04,1633305600,2334.4951490654288957
2021-10-05,1633392000,2422.4768031728385185
2021-10-06,1633478400,2556.9196573354720483
2021-10-07,1633564800,2640.7261238080836189
2021-10-08,1633651200,2689.0816677310989382
2021-10-09,1633737600,2723.3931421072698936
2021-10-10,1633824000,2740.8764632953892545
2021-10-11,1633910400,2812.2876508731608374
2021-10-12,1633996800,2821.0338660250957026
2021-10-13,1634083200,2844.6822514173003294
2021-10-14,1634169600,2889.5332955709514493
2021-10-15,1634256000,2986.4662953525285172
2021-10-16,1634342400,3049.5392410302413561
2021-10-17,1634428800,3053.0368466389953458
2021-10-18,1634515200,3095.6633524013641285
2021-10-19,1634601600,3154.2051302621599663
2021-10-20,1634688000,3251.7347350910970893
2021-10-21,1634774400,3251.1882492750916319
2021-10-22,1634860800,3208.2170381026622386
2021-10-23,1634947200,3185.4736508925715156
2021-10-24,1635033600,3168.4618554992970773
2021-10-25,1635120000,3231.4613468618352635
2021-10-26,1635206400,3210.3151812714236909
2021-10-27,1635292800,3115.9829812510087346
2021-10-28,1635379200,3130.5779526781238165
2021-10-29,1635465600,3154.7298868880471209
2021-10-30,1635552000,3159.7154477502440389
2021-10-31,1635638400,3145.9871198191476946
2021-11-01,1635724800,3138.5656236662242314
2021-11-02,1635811200,3180.4494994072738717
2021-11-03,1635897600,3161.3793340439567567
2021-11-04,1635984000,3129.2539050838656068
2021-11-05,1636070400,3117.2705596614326777
2021-11-06,1636156800,3100.8061776663836864
2021-11-07,1636243200,3131.4008254635628962
2021-11-08,1636329600,3246.0483002711048243
2021-11-09,1636416000,3299.4069362115950110
2021-11-10,1636502400,3315.2939381089095331
2021-11-11,1636588800,3284.4923005380303933
2021-11-12,1636675200,3259.1778662255976540
2021-11-13,1636761600,3257.4910827232476017
2021-11-14,1636848000,3259.7990276146650747
2021-11-15,1636934400,3262.9673851708328348
2021-11-16,1637020800,3144.3439889954274083
2021-11-17,1637107200,3102.6350067210024132
2021-11-18,1637193600,3035.4002675768977417
2021-11-19,1637280000,2971.9167256888835302
2021-11-20,1637366400,2966.7720713746260058
2021-11-21,1637452800,2960.1734501694683731
2021-11-22,1637539200,2892.4414821334944053
2021-11-23,1637625600,2866.4112057363700355
2021-11-24,1637712000,2833.1334620417614069
2021-11-25,1637798400,2852.9066843686759144
2021-11-26,1637884800,2765.8702737363216481
2021-11-27,1637971200,2728.2845240021629108
2021-11-28,1638057600,2732.1918508356653277
2021-11-29,1638144000,2789.6307585667180400
2021-11-30,1638230400,2779.0930348127090006
2021-12-01,1638316800,2771.2610985941978013
2021-12-02,1638403200,2746.8742623508215328
2021-12-03,1638489600,2704.2134976279887568
2021-12-04,1638576000,2549.4641973996716789
2021-12-05,1638662400,2500.5812706376249913
2021-12-06,1638748800,2495.9209330344657703
2021-12-07,1638835200,2505.7314142713370066
2021-12-08,1638921600,2463.3149767292977186
2021-12-09,1639008000,2388.3824537249539065
2021-12-10,1639094400,2345.7921652701096410
2021-12-11,1639180800,2355.5412750786287954
2021-12-12,1639267200,2377.8189383700664346
2021-12-13,1639353600,2280.4136941022887686
2021-12-14,1639440000,2259.0275763014768421
2021-12-15,1639526400,2264.6736460793206517
2021-12-16,1639612800,2235.9602204965121956
2021-12-17,1639699200,2191.7889568666026348
2021-12-18,1639785600,2166.2906896163365550
2021-12-19,1639872000,2161.7109822006833718
2021-12-20,1639958400,2144.1586312046567619
2021-12-21,1640044800,2182.4721536196191215
2021-12-22,1640131200,2165.4897341510256260
2021-12-23,1640217600,2162.8686419473852810
2021-12-24,1640304000,2201.7020957743761018
2021-12-25,1640390400,2215.6133409194565085
2021-12-26,1640476800,2206.3289801533947021
2021-12-27,1640563200,2220.3828094745139509
2021-12-28,1640649600,2079.8686892240676537
2021-12-29,1640736000,2051.4505449316959597
2021-12-30,1640822400,2042.8746938198584328
2021-12-31,1640908800,2001.9294733822261826
2022-01-01,1640995200,1986.3838780423922215
2022-01-02,1641081600,1970.4256176458863766
2022-01-03,1641168000,1938.8285466970521462
2022-01-04,1641254400,1910.2634449135186862
2022-01-05,1641340800,1871.1918748982838327
2022-01-06,1641427200,1801.3995559412443303
2022-01-07,1641513600,1721.7454720808966682
2022-01-08,1641600000,1673.3659543054714859
2022-01-09,1641686400,1624.1429781024954125
2022-01-10,1641772800,1602.0304387675129428
2022-01-11,1641859200,1585.6664644767023367
2022-01-12,1641945600,1592.8627195152376226
2022-01-13,1642032000,1578.8995546524422232
2022-01-14,1642118400,1561.1182210041150314
2022-01-15,1642204800,1560.1985310181294984
2022-01-16,1642291200,1557.8516713239297753
2022-01-17,1642377600,1541.8152145757811760
2022-01-18,1642464000,1530.8898995438668366
2022-01-19,1642550400,1512.1982226057556789
2022-01-20,1642636800,1507.1603471611421493
2022-01-21,1642723200,1425.3218930798779927
2022-01-22,1642809600,1352.5384046686162188
2022-01-23,1642896000,1328.6202492441501537
2022-01-24,1642982400,1327.2150233402941500
